elapsed_time_between_processing,elapsed_time_for_attendance
118.28800000000001,1745.636
86.122,1769.6270000000002
89.61,1437.251
86.92800000000001,2878.4610000000002
90.568,1439.599
85.31800000000001,1404.1449999999998
88.578,1408.7150000000001
89.05799999999999,1410.933
92.849,1428.4119999999996
85.4,1414.691
87.448,2131.265
85.587,4047.4680000000003
88.313,1423.368
85.202,1405.296
86.69200000000001,1409.768
88.81400000000001,1441.552
87.162,1670.8300000000004
96.251,2841.153
115.708,1660.384
91.945,1433.759
97.322,2715.0890000000004
86.133,1407.0419999999997
84.49,2114.6789999999996
88.964,1411.757
85.456,1924.6580000000001
